//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-7-2021
//--  Time: 11:31
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:fileBrowseGenerator
//-- Table Identifier:002//--    Generated from user inc file 
//--    Useing user File:
//-- /home/nhol .... ects/Speeduino Miata/inc/AEM 30-3130.inc
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
527	13.43	134 	2.573
528	13.44	134 	2.578
529	13.45	134 	2.583
530	13.46	135 	2.588
531	13.47	135 	2.593
532	13.48	135 	2.598
533	13.50	135 	2.603
534	13.51	135 	2.607
535	13.52	135 	2.612
536	13.53	135 	2.617
537	13.54	135 	2.622
538	13.55	136 	2.627
539	13.57	136 	2.632
540	13.58	136 	2.637
541	13.59	136 	2.642
542	13.60	136 	2.646
543	13.61	136 	2.651
544	13.62	136 	2.656
545	13.64	136 	2.661
546	13.65	136 	2.666
547	13.66	137 	2.671
548	13.67	137 	2.676
549	13.68	137 	2.681
550	13.69	137 	2.686
551	13.71	137 	2.690
552	13.72	137 	2.695
553	13.73	137 	2.700
554	13.74	137 	2.705
555	13.75	138 	2.710
556	13.76	138 	2.715
557	13.78	138 	2.720
558	13.79	138 	2.725
559	13.80	138 	2.729
560	13.81	138 	2.734
561	13.82	138 	2.739
562	13.83	138 	2.744
563	13.85	138 	2.749
564	13.86	139 	2.754
565	13.87	139 	2.759
566	13.88	139 	2.764
567	13.89	139 	2.769
568	13.90	139 	2.773
569	13.91	139 	2.778
570	13.93	139 	2.783
571	13.94	139 	2.788
572	13.95	139 	2.793
573	13.96	140 	2.798
574	13.97	140 	2.803
575	13.98	140 	2.808
576	14.00	140 	2.813
577	14.01	140 	2.817
578	14.02	140 	2.822
579	14.03	140 	2.827
580	14.04	140 	2.832
581	14.05	141 	2.837
582	14.06	141 	2.842
583	14.08	141 	2.847
584	14.09	141 	2.852
585	14.10	141 	2.856
586	14.11	141 	2.861
587	14.12	141 	2.866
588	14.13	141 	2.871
589	14.14	141 	2.876
590	14.16	142 	2.881
591	14.17	142 	2.886
592	14.18	142 	2.891
593	14.19	142 	2.896
594	14.20	142 	2.900
595	14.21	142 	2.905
596	14.22	142 	2.910
597	14.24	142 	2.915
598	14.25	142 	2.920
599	14.26	143 	2.925
600	14.27	143 	2.930
601	14.28	143 	2.935
602	14.29	143 	2.939
603	14.30	143 	2.944
604	14.31	143 	2.949
605	14.33	143 	2.954
606	14.34	143 	2.959
607	14.35	143 	2.964
608	14.36	144 	2.969
609	14.37	144 	2.974
610	14.38	144 	2.979
611	14.40	144 	2.983
612	14.41	144 	2.988
613	14.42	144 	2.993
614	14.43	144 	2.998
615	14.44	144 	3.003
616	14.45	145 	3.008
617	14.47	145 	3.013
618	14.48	145 	3.018
619	14.49	145 	3.022
620	14.50	145 	3.027
621	14.51	145 	3.032
622	14.52	145 	3.037
623	14.53	145 	3.042
624	14.55	145 	3.047
625	14.56	146 	3.052
626	14.57	146 	3.057
627	14.58	146 	3.062
628	14.59	146 	3.066
629	14.60	146 	3.071
630	14.62	146 	3.076
631	14.63	146 	3.081
632	14.64	146 	3.086
633	14.65	147 	3.091
634	14.66	147 	3.096
635	14.67	147 	3.101
636	14.69	147 	3.105
637	14.70	147 	3.110
638	14.71	147 	3.115
639	14.72	147 	3.120
640	14.73	147 	3.125
641	14.74	147 	3.130
642	14.76	148 	3.135
643	14.77	148 	3.140
644	14.78	148 	3.145
645	14.79	148 	3.149
646	14.80	148 	3.154
647	14.81	148 	3.159
648	14.82	148 	3.164
649	14.84	148 	3.169
650	14.85	148 	3.174
651	14.86	149 	3.179
652	14.87	149 	3.184
653	14.88	149 	3.188
654	14.89	149 	3.193
655	14.91	149 	3.198
656	14.92	149 	3.203
657	14.93	149 	3.208
658	14.94	149 	3.213
659	14.95	150 	3.218
660	14.96	150 	3.223
661	14.98	150 	3.228
662	14.99	150 	3.232
663	15.00	150 	3.237
664	15.01	150 	3.242
665	15.02	150 	3.247
666	15.03	150 	3.252
667	15.04	150 	3.257
668	15.06	151 	3.262
669	15.07	151 	3.267
670	15.08	151 	3.271
671	15.09	151 	3.276
672	15.10	151 	3.281
673	15.11	151 	3.286
674	15.13	151 	3.291
675	15.14	151 	3.296
676	15.15	151 	3.301
677	15.16	152 	3.306
678	15.17	152 	3.311
679	15.19	152 	3.315
680	15.20	152 	3.320
681	15.21	152 	3.325
682	15.22	152 	3.330
683	15.23	152 	3.335
684	15.24	152 	3.340
685	15.26	153 	3.345
686	15.27	153 	3.350
687	15.28	153 	3.354
688	15.29	153 	3.359
689	15.30	153 	3.364
690	15.31	153 	3.369
691	15.33	153 	3.374
692	15.34	153 	3.379
693	15.35	153 	3.384
694	15.36	154 	3.389
695	15.37	154 	3.394
696	15.38	154 	3.398
697	15.40	154 	3.403
698	15.41	154 	3.408
699	15.42	154 	3.413
700	15.43	154 	3.418
701	15.44	154 	3.423
702	15.45	155 	3.428
703	15.47	155 	3.433
704	15.48	155 	3.438
705	15.49	155 	3.442
706	15.50	155 	3.447
707	15.51	155 	3.452
708	15.52	155 	3.457
709	15.54	155 	3.462
710	15.55	155 	3.467
711	15.56	156 	3.472
712	15.57	156 	3.477
713	15.58	156 	3.481
714	15.59	156 	3.486
715	15.61	156 	3.491
716	15.62	156 	3.496
717	15.63	156 	3.501
718	15.64	156 	3.506
719	15.65	157 	3.511
720	15.66	157 	3.516
721	15.67	157 	3.521
722	15.69	157 	3.525
723	15.70	157 	3.530
724	15.71	157 	3.535
725	15.72	157 	3.540
726	15.73	157 	3.545
727	15.74	157 	3.550
728	15.76	158 	3.555
729	15.77	158 	3.560
730	15.78	158 	3.564
731	15.79	158 	3.569
732	15.80	158 	3.574
733	15.81	158 	3.579
734	15.83	158 	3.584
735	15.84	158 	3.589
736	15.85	158 	3.594
737	15.86	159 	3.599
738	15.87	159 	3.604
739	15.88	159 	3.608
740	15.90	159 	3.613
741	15.91	159 	3.618
742	15.92	159 	3.623
743	15.93	159 	3.628
744	15.94	159 	3.633
745	15.95	160 	3.638
746	15.97	160 	3.643
747	15.98	160 	3.647
748	15.99	160 	3.652
749	16.00	160 	3.657
750	16.01	160 	3.662
751	16.02	160 	3.667
752	16.04	160 	3.672
753	16.05	160 	3.677
754	16.06	161 	3.682
755	16.07	161 	3.687
756	16.08	161 	3.691
757	16.10	161 	3.696
758	16.11	161 	3.701
759	16.12	161 	3.706
760	16.13	161 	3.711
761	16.14	161 	3.716
762	16.15	162 	3.721
763	16.17	162 	3.726
764	16.18	162 	3.730
765	16.19	162 	3.735
766	16.20	162 	3.740
767	16.21	162 	3.745
768	16.22	162 	3.750
769	16.24	162 	3.755
770	16.25	162 	3.760
771	16.26	163 	3.765
772	16.27	163 	3.770
773	16.28	163 	3.774
774	16.29	163 	3.779
775	16.30	163 	3.784
776	16.32	163 	3.789
777	16.33	163 	3.794
778	16.34	163 	3.799
779	16.35	164 	3.804
780	16.36	164 	3.809
781	16.37	164 	3.813
782	16.39	164 	3.818
783	16.40	164 	3.823
784	16.41	164 	3.828
785	16.42	164 	3.833
786	16.43	164 	3.838
787	16.44	164 	3.843
788	16.46	165 	3.848
789	16.47	165 	3.853
790	16.48	165 	3.857
791	16.49	165 	3.862
792	16.50	165 	3.867
793	16.51	165 	3.872
794	16.53	165 	3.877
795	16.54	165 	3.882
796	16.55	165 	3.887
797	16.56	166 	3.892
798	16.57	166 	3.896
799	16.58	166 	3.901
800	16.59	166 	3.906
